model,MAE,Bias,Corr
baseline_P_next_X,0.14355965037682825,0.029676976496174005,0.6500085261677192
probe_P_next_X,0.049618941258966154,-0.026860141837580054,-0.04658404309130353
ablated_P_next_X,0.06950190206623,-0.06943382959651066,0.21539712880565126
