layer,head,drift_reduction_primary,drift_baseline_primary,drift_ablated_primary,mean_P_next_X_baseline,mean_P_next_X_ablated,prob_std,prob_max_min,logit_diff_std,logit_diff_max_min
0,0,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
0,1,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
0,2,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
0,3,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
0,4,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
0,5,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
0,6,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
0,7,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
1,0,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
1,1,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
1,2,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
1,3,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
1,4,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
1,5,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
1,6,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
1,7,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
2,0,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
2,1,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
2,2,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
2,3,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
2,4,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
2,5,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
2,6,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
2,7,0.0,0.0321044921875,0.0321044921875,0.8968135714530945,0.8968135714530945,0.0029807514511048794,0.012391865253448486,0.0321044921875,0.1328125
